Company_Code,Networth Next Year,Capital Employed,Net Working Capital ,Current Assets ,Total Sales,Retained Earnings,PBDT,PBIT,PBT,PBT_as_%_of_total_income,PAT,CP,Book Value (Adj.) (Unit Curr),EPS (Annualised) (Adjusted) (Unit Curr),APATM (%)[Latest],Creditors Velocity (Days),Total Liabilities,Total Equity,Market Value of Equity,total assets,Cost of Production,Current Ratio,Gross Block 
2023,2.8,21.17,20.3,29.46,70.89,0.34,0.32,2.14,0.27,0.794117647,0.21,0.26,61.07,4.38,0,34,18.23,0.48,0,18.71,67.74,1.13,0.73
3233,2.8,7.21,4.65,7.99,20.69,0.51,0.74,1.3,0.53,1.039215686,0.45,0.66,15.15,2.61,1.21,47,4.53,0.86,2.91,5.39,20.58,1.21,3.84
4368,2.8,4.21,-0.63,0.01,0,0,-0.38,-0.38,-0.38,0,-0.38,-0.38,0.41,0,-188.89,5749,1.1,7.33,2.77,8.43,0.03,0.07,0
6973,2.8,2.81,1.49,1.69,0.19,0.17,0.15,0.05,0.05,0.294117647,0.05,0.15,7.08,0.12,7.14,0,0.03,3.93,0,3.96,0.24,8.25,1.62
70753,2.82,3.37,3.33,3.61,18.4,0.01,0.02,0.04,0.02,2,0.01,0.01,12.44,0.15,0.75,7,2.13,0.25,0,2.38,19.03,8.06,0.06
3439,2.83,4.17,0.22,2.51,2.08,0.12,0.14,0.07,0.03,0.25,0.04,0.15,8.96,0.13,0,194,1.21,3.29,0,4.5,1.87,1.09,2.15
6451,2.83,5.67,0.59,0.71,0.68,0,0.26,0.52,0.25,0,0.17,0.18,8.4,0.57,21.14,0,3.15,3,2.1,6.15,0.03,1.84,0.03
4754,2.84,3.21,0.05,0.09,0.09,0,0.01,0.01,0.01,0,0,0,6.2,0.01,25,0,0.39,4.54,0,4.93,0,6.97,0
7994,2.84,2.95,2.65,2.66,0.77,0.01,0.03,0.03,0.03,3,0.02,0.02,3.95,0.03,-86.67,21,4.82,7.47,2.41,7.47,0.72,30,0
71778,2.86,9.71,5.15,22.13,63.73,0.53,1.5,0.86,0.23,0.433962264,0.29,1.56,37.5,5.75,1.14,89,7.84,0.5,0,8.34,54.42,1.12,8.28
7176,2.87,3.19,1.28,1.29,1.16,0.03,-0.87,-0.87,-0.87,-29,-0.87,-0.87,6.59,0,-84.83,0,0.34,4.33,77.51,4.67,0.82,0.43,0.59
24105,2.87,6.39,4.64,9.34,0,5.94,-0.88,-1.03,-1.04,-0.175084175,-1.22,-1.06,22.89,0,0,251,1.35,0.91,0,2.26,2.17,1.6,6.49
70589,2.87,2.84,0.34,2.44,7.85,0.16,0.77,0.49,0.46,2.875,0.23,0.54,20.22,1.72,7.68,76,0.15,1.11,0,1.26,5.48,1.21,3.39
6695,2.88,3.04,2.75,2.77,0.23,0.01,0.04,0.03,0.03,3,0.02,0.03,10.13,0.07,11.76,0,8,3,0,3,0.06,180,0.1
41386,2.88,4.59,1.47,1.59,0.3,0.08,0.09,0.09,0.09,1.125,0.03,0.03,9.55,0.08,0.53,0,1.49,3.25,0,4.74,0.06,1.12,0
41244,2.89,3.11,3.11,5.7,10.57,0,0.05,0.05,0.05,0,0.03,0.03,7.15,0.09,0.33,91,0.25,4,189.08,4.25,10.39,1.82,0.01
14003,2.92,3.86,-0.01,0.09,0.23,0,0.02,0.07,0.02,0,0.03,0.03,10.24,0.11,3.33,122,0.78,3.01,0,3.79,0.09,2.74,0.16
4917,2.94,2.81,2.79,2.97,0,0.12,0.09,0.09,0.09,0.75,0.06,0.06,0.91,0.06,0,0,5,30.96,0,30.96,0,0.04,0
25451,2.95,2.93,2.93,2.95,0.33,0,0.02,0.02,0.02,0,0,0,0.92,0,10,0,0.06,3.11,0,3.17,0.17,20,0
5756,2.96,3.27,0.35,0.51,0,0,-0.06,-0.06,-0.06,0,-0.06,-0.06,8.92,0,0,2373,0.25,3.39,0,3.64,0.01,1.18,-0.1
1997,2.99,3.43,-0.66,2.57,4.06,0.01,0.12,0.08,0.08,8,0.05,0.09,30.39,0.47,6.46,324,0.39,1,21.35,1.39,3.66,0.58,1.08
6962,2.99,3,0.08,0.27,0,0,0,0,0,0,0,0,31.25,0,-25,0,1,0.96,0,0.96,0,1.29,0
22545,2.99,1.07,0.39,2.2,2.42,0.12,-0.11,-0.11,-0.13,-1.083333333,-0.13,-0.11,10.65,0,2.1,0,1,1,0,1,2.48,1.76,0.93
1800,3,2.99,-5.63,2.1,0.11,0,0.02,0.01,0.01,0,0.01,0.02,9.97,0.02,25,0,6,3,0,3,0.03,0.18,0.21
5878,3,3.26,3.25,3.27,0.45,0.01,0.01,-0.02,-0.02,-2,-0.01,0.02,-0.27,0,-21.43,0,4.63,5.08,1.42,9.71,0.09,6.52,0
14457,3,3.41,2.59,2.7,5.94,0.02,0.26,0.2,0.07,3.5,0.05,0.24,10.91,0.2,-1.51,9,0.94,2.26,0,3.2,5.11,4.81,1.91
69822,3,2.32,0.07,1.83,0.07,0.01,0,0,0,0,0,0,21.06,0.01,-2.79,64,1,0.07,0,0.07,0.12,35.15,0
3025,3.02,14.76,10.49,14.83,32.68,0.07,1.06,1.71,0.34,4.857142857,0.29,1.01,14.46,0.96,2.29,44,9.97,3,0,12.97,29.41,1.13,11.58
6998,3.02,4.8,2.02,2.07,3.64,0.08,0.19,-0.21,-0.28,-3.5,-0.28,0.19,0.79,0,-15.82,1,0.42,4.13,9.75,4.55,3.74,7.29,7.09
5230,3.03,3.71,0.01,1.28,0.01,0,-0.12,-0.15,-0.15,0,-0.15,-0.12,2.87,0,0,0,0.61,10.8,0.89,11.41,0.04,0.35,0.26
5746,3.04,3.14,0.64,3.33,2.12,0.91,0.74,0.73,0.73,0.802197802,0.59,0.6,8.43,1.63,0,0,0.1,3.6,0,3.7,1.32,3.39,1.93
32288,3.04,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,10.08,0.01,0,0,1,0.25,0,0.25,0.2,13.94,0
72078,3.04,6.13,3.48,15.68,103.88,6.69,0.89,0.9,0.51,0.076233184,0.34,0.72,52.89,6.64,0.39,37,3.32,0.52,0,3.84,107.06,1.06,2.65
5636,3.05,9.65,0.11,1.74,0,0,-0.04,-0.04,-0.04,0,-0.04,-0.04,1.51,0,0,0,8.84,5.43,0,14.27,0,0.11,1.19
6616,3.05,3.28,2.02,2.07,0.17,0,0,0,0,0,0,0,10.59,0,-17.65,0,4.88,3.1,2.44,3.1,0.1,29.84,0.05
54872,3.05,2.69,2.67,2.76,0.08,0,0.01,0.01,0.01,0,0.01,0.01,8.92,0.03,50,0,3,3,0,3,0,22,0
2490,3.06,3.06,0.16,0.17,0,0,0,0,0,0,0,0,6.34,0,0,0,4,4.83,0,4.83,0,19.11,0.89
2651,3.06,20.58,14.77,24.8,33.06,0.03,1.45,2.78,1.01,33.66666667,0.71,1.15,7.3,2.03,1.07,100,15.78,3.5,5.05,19.28,27.82,1.2,11.37
6122,3.06,15.66,3.96,7.75,28.77,0.16,0.41,0.83,-0.89,-5.5625,-0.63,0.67,11.91,0,-1.37,42,12.07,2.91,0,14.98,27.66,0.78,25.21
7993,3.06,9.35,1.67,3.17,13.85,0.02,0.94,0.84,0.25,12.5,0.3,0.99,186.92,19.77,1.66,12,4.93,0.15,0,5.08,12.92,0.56,13.02
7834,3.07,3.07,3.07,3.08,0.15,0,0,0,0,0,0,0,8.67,0.01,-31.58,0,12,3.54,0,3.54,0.02,25.69,0
23175,3.07,10.4,10.29,10.33,3.93,0,0.19,0.17,0.17,0,0.14,0.16,21.59,0.99,1.67,0,7.38,1.4,0,8.78,3.7,1.23,0.17
40176,3.07,3.07,2.92,3.14,0.87,0.01,0,0,0,0,0,0,9.69,0,0.47,54,0.01,3.16,0,3.17,0.81,13.44,0
67181,3.07,3.2,1.78,1.82,0.64,0,0.02,0.02,0.02,0,0.02,0.02,6.82,0.05,22.22,0,0.19,4.42,0,4.61,0.01,9.41,0.01
22508,3.08,4.1,0.98,1.09,2.25,0.22,0.42,0.38,0.38,1.727272727,0.32,0.36,6.79,0.71,0.52,24,8,4.49,0,4.49,0.62,4.39,2.15
67411,3.08,3.04,2.33,3.07,1.3,0,-0.01,-0.01,-0.01,0,-0.03,-0.03,28.73,0,7.81,0,6,1.06,0,1.06,1.76,4.71,0
70857,3.08,0.28,0.09,0.14,0.14,0,0,0,0,0,0,0,10.21,0.11,0,1460,1,0.27,0,0.27,0,37.9,0
2326,3.09,3.56,1.89,2.51,3.53,0.08,-0.06,-0.18,-0.21,-2.625,-0.2,-0.05,14.64,0,-45.58,66,0.08,2.18,2.32,2.26,2.44,5.88,1.79
6810,3.09,3.12,0.01,0.01,0.02,0,-0.03,-0.03,-0.03,0,-0.03,-0.03,62.45,0,-350,0,1,0.5,0,0.5,0.02,0,0
7862,3.09,3.09,3.04,3.07,0.14,0,0.04,0.04,0.04,0,0.03,0.03,10.09,0.1,0.24,0,8,3.06,0,3.06,0.02,1.2,0
45834,3.09,3.96,3.27,6,2.97,0.05,0.09,0.06,0.06,1.2,0.04,0.07,1.01,0.01,1.27,231,0.92,3.02,146.62,3.94,2.82,2.11,0.08
67311,3.09,3.17,3.17,3.46,0.38,0,0,0,0,0,0,0,1.94,0.13,0.92,311,1,0.24,0,0.24,0.34,803.57,0
71015,3.09,3.73,0.64,1.64,2.07,0,0.28,0.16,0.02,0,0.01,0.27,10.05,0.05,0.75,203,0.65,3.06,0,3.71,1.86,1.29,2.61
67649,3.1,3.1,1.23,1.25,1.36,0.04,0.01,0,0,0,0,0.01,9.99,0.01,0,0,12,3.1,0,3.1,1.29,0,0
7734,3.11,3.1,3.01,3.01,0.12,0,0,0,0,0,0,0,31,0.02,0,0,1,1,0,1,0.11,5.9,0
6574,3.12,3.72,3.39,3.54,0.35,0.13,0.04,0,0,0,0.01,0.05,6.9,0.01,166.67,50,0.27,5,2.28,5.27,0.39,7.66,2.88
14389,3.12,3.07,1.41,2.25,0.8,0,0.02,0.02,0.02,0,0.02,0.02,10.22,0.08,0.66,659,8,3,0,3,0.57,1.98,0.06
4210,3.13,3.1,1.29,1.34,0.65,0.02,0.02,0.02,0.02,1,0.01,0.01,1.48,0,2.78,6,3,10.5,0,10.5,0.59,20.24,1.81
6919,3.13,3.59,1.86,1.89,3.43,0,0.03,0.03,0.03,0,0.02,0.02,12.56,0.06,23.81,0,9,2.86,0,2.86,3.36,8.23,0.01
24182,3.13,2.93,0.32,0.43,1,0.2,0.11,0.11,0.11,0.55,0.09,0.09,27.12,0.82,17.8,0,11,1.08,0,1.08,0.94,1.9,0.05
65456,3.13,3.3,0.31,0.41,0.26,0,0,0,0,0,0,0,10.03,0.01,1.23,576,0.17,3.12,0,3.29,0.13,1.25,0
5268,3.14,3.13,3.12,3.13,0.34,0,0.01,0.01,0.01,0,0,0,10.41,0,3.03,0,11,3.01,0,3.01,0.22,126.5,0
3874,3.15,3.12,0.24,0.36,1.46,0,0.01,0.01,0.01,0,0.01,0.01,4.99,0.01,-31.5,489,3,3.13,0,3.13,1.34,1.31,0
22472,3.15,3.22,-0.2,0.26,0.24,0,0.14,0.15,0.14,0,0.1,0.1,10.61,0.26,0,1186,9,3.04,0,3.04,0.02,4.75,0.01
7509,3.16,8.22,7.49,7.64,0.12,0,-0.04,-0.03,-0.04,0,-0.04,-0.04,0.56,0,0,0,5.03,5.65,1.75,10.68,0.07,59.81,0
41289,3.16,3.16,3.16,3.17,0.6,0,0.01,0,0,0,0,0.01,1,0,0,0,10,3.15,0,3.15,0.56,0,0
45800,3.16,14.94,14.91,20.64,60.18,0.74,0.11,1.37,0.1,0.135135135,0.27,0.28,1.71,0.14,2.29,38,11.77,3.7,83.44,15.47,54.26,2.25,0.02
67988,3.16,3.25,0.38,0.72,1.44,0,0.04,0.01,0.01,0,0,0.03,10.04,0.01,0,39,10,3.24,0,3.24,1.55,0,0
2145,3.17,3.09,3.06,3.08,0,0.28,0.26,0.26,0.26,0.928571429,0.17,0.17,13.8,0.76,0,0,9,2.24,0,2.24,0,57.37,0
4398,3.17,5.58,2.13,5.97,16.22,0.27,0.61,0.45,0.41,1.518518519,0.25,0.45,3.37,0.26,-0.27,74,2.36,9.54,4,11.9,14.67,1.41,6
6220,3.17,8.55,6.77,9.52,1.08,0.25,-0.8,-0.51,-0.83,-3.32,-0.59,-0.56,0.35,0,-25.2,1488,5.07,10,0,15.07,0.92,3.1,1.12
